"Subject","Language","Type","Item","Trial","Score","RT"
6,"L1","visuell","audio/n16.wav",5,1,2.258952773
6,"L1","visuospatial","audio/n2.wav",6,0,0.820706611
6,"L1","visuospatial","audio/n23.wav",7,1,2.692134785
6,"L1","visuell","audio/n11.wav",8,1,1.154773991
6,"L1","visuell","audio/n13.wav",9,1,1.072630859
6,"L1","visuospatial","audio/n24.wav",10,1,0.602191415
6,"L1","kontroll","audio/n7.wav",11,0,1.706426429
6,"L1","visuell","audio/n12.wav",12,1,0.921104527
6,"L1","kontroll","audio/n20.wav",13,0,2.290460094
6,"L1","kontroll","audio/n6.wav",14,0,6.15232843
6,"L1","visuell","audio/n14.wav",15,1,0.539113057
6,"L1","visuospatial","audio/n21.wav",16,1,0.486768087
6,"L1","visuospatial","audio/n22.wav",17,1,0.351406179
6,"L1","visuell","audio/n10.wav",18,1,0.404391192
6,"L1","visuell","audio/n15.wav",19,1,0.25370338
6,"L1","kontroll","audio/n19.wav",20,1,0.320056625
6,"L1","kontroll","audio/n8.wav",21,1,0.406470847
6,"L1","kontroll","audio/n18.wav",22,0,0.252480978
6,"L1","visuospatial","audio/n1.wav",23,1,2.609110864
6,"L1","kontroll","audio/n17.wav",24,1,1.507414807
6,"L2","visuell","audio/r3.wav",1,1,0.219243125
6,"L2","visuell","audio/r8.wav",2,1,0.955640236
6,"L2","visuospatial","audio/r20.wav",3,1,0.621638973
6,"L2","visuell","audio/r7.wav",4,1,0.154735923
6,"L2","visuospatial","audio/r19.wav",5,1,0.620290295
6,"L2","kontroll","audio/r13.wav",6,1,0.204213754
6,"L2","kontroll","audio/r16.wav",7,0,0.91958866
6,"L2","visuospatial","audio/r17.wav",8,1,0.637476301
6,"L2","visuospatial","audio/r23.wav",9,0,0.656168166
6,"L2","visuell","audio/r5.wav",10,1,0.169631704
6,"L2","kontroll","audio/r15.wav",11,0,0.604503503
6,"L2","visuospatial","audio/r21.wav",12,1,0.336779982
6,"L2","visuell","audio/r2.wav",13,1,0.436863945
6,"L2","visuospatial","audio/r22.wav",14,1,0.703268813
6,"L2","visuell","audio/r1.wav",15,1,0.455452843
6,"L2","kontroll","audio/r14.wav",16,1,0.237050511
6,"L2","visuell","audio/r4.wav",17,1,0.470223616
6,"L2","visuospatial","audio/r24.wav",18,1,0.386653953
6,"L2","kontroll","audio/r10.wav",19,1,0.072002599
6,"L2","kontroll","audio/r12.wav",20,1,0.153690034
6,"L2","visuell","audio/r6.wav",21,1,4.279232711
6,"L2","visuospatial","audio/r18.wav",22,1,0.270080974
6,"L2","kontroll","audio/r9.wav",23,1,0.771128099
6,"L2","kontroll","audio/r11.wav",24,1,0.93586643
7,"L1","visuell","audio/n15.wav",1,0,0.675913974
7,"L1","kontroll","audio/n20.wav",2,1,1.143910062
7,"L1","kontroll","audio/n7.wav",3,1,0.76029294
7,"L1","visuospatial","audio/n1.wav",4,1,1.610547377
7,"L1","kontroll","audio/n8.wav",5,1,3.213804953
7,"L1","visuell","audio/n9.wav",6,1,4.082441694
7,"L1","visuospatial","audio/n2.wav",7,1,1.344302571
7,"L1","visuell","audio/n10.wav",8,1,2.346267408
7,"L1","visuell","audio/n12.wav",9,1,8.224545181
7,"L1","visuell","audio/n11.wav",10,1,1.910630327
7,"L1","visuospatial","audio/n22.wav",11,0,1.027842656
7,"L1","visuospatial","audio/n21.wav",12,1,0.874828923
7,"L1","visuell","audio/n16.wav",13,1,2.144446438
7,"L1","kontroll","audio/n5.wav",14,1,7.806818063
7,"L1","kontroll","audio/n6.wav",15,1,5.569189265
7,"L1","kontroll","audio/n18.wav",16,1,1.845576717
7,"L1","kontroll","audio/n17.wav",17,1,2.714468633
7,"L1","visuell","audio/n13.wav",18,0,5.88426321
7,"L1","visuospatial","audio/n24.wav",19,1,1.126049467
7,"L1","kontroll","audio/n19.wav",20,1,0.908846586
7,"L1","visuospatial","audio/n23.wav",21,1,0.925570169
7,"L1","visuell","audio/n14.wav",22,1,0.944249849
7,"L1","visuospatial","audio/n3.wav",23,1,1.343428081
7,"L1","visuospatial","audio/n4.wav",24,1,2.479720904
7,"L2","visuell","audio/r5.wav",1,0,5.418226261
7,"L2","visuospatial","audio/r23.wav",2,1,1.108820158
7,"L2","visuospatial","audio/r17.wav",3,1,0.725413783
7,"L2","visuospatial","audio/r21.wav",4,1,1.477209222
7,"L2","visuell","audio/r3.wav",5,1,3.431395921
7,"L2","visuospatial","audio/r22.wav",6,1,11.59820505
7,"L2","visuell","audio/r4.wav",7,1,4.066144209
7,"L2","kontroll","audio/r16.wav",8,1,8.742091487
7,"L2","visuospatial","audio/r20.wav",9,0,5.468997536
7,"L2","visuell","audio/r7.wav",10,1,0.842219804
7,"L2","kontroll","audio/r12.wav",11,0,5.935991645
7,"L2","visuospatial","audio/r24.wav",12,0,6.438482605
7,"L2","visuospatial","audio/r18.wav",13,1,0.875636872
7,"L2","kontroll","audio/r9.wav",14,1,1.393657208
7,"L2","kontroll","audio/r13.wav",15,1,2.228074663
7,"L2","visuell","audio/r6.wav",16,1,1.375645227
7,"L2","visuell","audio/r2.wav",17,1,0.72525113
7,"L2","kontroll","audio/r10.wav",18,1,1.659985124
7,"L2","kontroll","audio/r11.wav",19,1,0.839916455
7,"L2","visuell","audio/r1.wav",20,1,3.815312743
7,"L2","visuospatial","audio/r19.wav",21,1,4.01574527
7,"L2","kontroll","audio/r15.wav",22,1,2.812413499
7,"L2","kontroll","audio/r14.wav",23,1,0.74165013
7,"L2","visuell","audio/r8.wav",24,1,0.67295461
8,"L1","kontroll","audio/n19.wav",1,1,1.292530307
8,"L1","visuospatial","audio/n4.wav",2,1,1.09224215
8,"L1","kontroll","audio/n5.wav",3,1,1.276405207
