Subject;Lang.;Type;Item;Trial;Score;RT (gammal);RT
3;L2;visuell;audio/r3.wav;14;1;1.505284231;1.505284231
3;L2;kontroll;audio/r13.wav;15;1;1.390033794;1.390033794
3;L2;visuell;audio/r5.wav;16;1;1.924170182;1.924170182
3;L2;visuospatial;audio/r18.wav;17;1;1.589837868;1.589837868
3;L2;visuospatial;audio/r20.wav;18;1;1.372382338;1.372382338
3;L2;kontroll;audio/r14.wav;19;1;1.155165136;1.155165136
3;L2;visuell;audio/r7.wav;20;1;1.404200284;1.404200284
3;L2;visuell;audio/r6.wav;21;0;7.06807823;7.06807823
3;L2;visuospatial;audio/r24.wav;22;1;2.342316461;2.342316461
3;L2;visuospatial;audio/r17.wav;23;1;1.039196419;1.039196419
3;L2;visuospatial;audio/r22.wav;24;1;1.705556263;1.705556263
4;L1;visuospatial;audio/n2.wav;1;1;3.343021783;3.343021783
4;L1;kontroll;audio/n19.wav;2;1;1.908765096;1.908765096
4;L1;kontroll;audio/n5.wav;3;1;1.656860145;1.656860145
4;L1;visuell;audio/n13.wav;4;1;2.574782636;2.574782636
4;L1;kontroll;audio/n6.wav;5;1;1.655907938;1.655907938
4;L1;visuospatial;audio/n24.wav;6;1;1.858161545;1.858161545
4;L1;visuospatial;audio/n3.wav;7;1;1.975022461;1.975022461
4;L1;visuell;audio/n15.wav;8;1;2.208854751;2.208854751
4;L1;visuospatial;audio/n21.wav;9;1;1.941724179;1.941724179
4;L1;visuell;audio/n11.wav;10;0;6.167298672;6.167298672
4;L1;visuospatial;audio/n22.wav;11;1;2.13888269;2.13888269
4;L1;visuospatial;audio/n23.wav;12;1;3.293316719;3.293316719
4;L1;visuell;audio/n10.wav;13;1;2.842673111;2.842673111
4;L1;visuell;audio/n14.wav;14;1;1.907049718;1.907049718
4;L1;visuell;audio/n9.wav;15;1;3.761604169;3.761604169
4;L1;visuospatial;audio/n1.wav;16;1;3.226544114;3.226544114
4;L1;kontroll;audio/n18.wav;17;1;1.924313158;1.924313158
4;L1;visuell;audio/n16.wav;18;1;3.293889707;3.293889707
4;L1;visuell;audio/n12.wav;19;1;5.664811894;5.664811894
4;L1;kontroll;audio/n7.wav;20;0;1.139198659;1.139198659
4;L1;kontroll;audio/n8.wav;21;1;4.462439436;4.462439436
4;L1;kontroll;audio/n17.wav;22;1;3.829505001;3.829505001
4;L1;visuospatial;audio/n4.wav;23;1;3.861548047;3.861548047
4;L1;kontroll;audio/n20.wav;24;1;2.875766867;2.875766867
4;L2;visuell;audio/r3.wav;1;1;0.804468899;0.804468899
