Subject;Task;Lang.;Trial;Score;Item;notes;;;;;;;;;;;;;;;;;;;
3;form;L2;4;1;17;;;;;;;;;;;;;;;;;;;;
3;form;L2;5;1;10;;;;;;;;;;;;;;;;;;;;
3;form;L2;6;0;14;;;;;;;;;;;;;;;;;;;;
3;form;L2;7;1;21;;;;;;;;;;;;;;;;;;;;
3;form;L2;8;1;18;;;;;;;;;;;;;;;;;;;;
3;form;L2;9;1;16;;;;;;;;;;;;;;;;;;;;
3;form;L2;10;1;3;;;;;;;;;;;;;;;;;;;;
3;form;L2;11;1;1;;;;;;;;;;;;;;;;;;;;
3;form;L2;12;1;9;;;;;;;;;;;;;;;;;;;;
3;form;L2;13;1;8;;;;;;;;;;;;;;;;;;;;
3;form;L2;14;1;6;;;;;;;;;;;;;;;;;;;;
3;form;L2;15;1;4;;;;;;;;;;;;;;;;;;;;
3;form;L2;16;1;20;;;;;;;;;;;;;;;;;;;;
3;form;L2;17;1;2;;;;;;;;;;;;;;;;;;;;
3;form;L2;18;1;12;;;;;;;;;;;;;;;;;;;;
3;form;L2;19;1;0;;;;;;;;;;;;;;;;;;;;
3;form;L2;20;1;23;;;;;;;;;;;;;;;;;;;;
3;form;L2;21;1;7;;;;;;;;;;;;;;;;;;;;
3;form;L2;22;1;11;;;;;;;;;;;;;;;;;;;;
3;form;L2;23;1;5;;;;;;;;;;;;;;;;;;;;
3;form;L2;24;1;13;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;1;1;20;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;2;1;9;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;3;1;14;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;4;1;0;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;5;1;23;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;6;1;13;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;7;1;10;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;8;1;4;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;9;1;3;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;10;1;7;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;11;1;19;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;12;1;18;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;13;1;15;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;14;1;12;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;15;1;16;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;16;1;17;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;17;1;1;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;18;1;2;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;19;1;21;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;20;1;22;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;21;1;5;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;22;1;6;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;23;1;8;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;24;1;11;;;;;;;;;;;;;;;;;;;;
4;form;L1;1;0;8;;;;;;;;;;;;;;;;;;;;
4;form;L1;2;1;7;;;;;;;;;;;;;;;;;;;;
4;form;L1;3;1;14;;;;;;;;;;;;;;;;;;;;
4;form;L1;4;1;9;;;;;;;;;;;;;;;;;;;;
4;form;L1;5;1;20;;;;;;;;;;;;;;;;;;;;
4;form;L1;6;1;0;;;;;;;;;;;;;;;;;;;;
4;form;L1;7;1;22;;;;;;;;;;;;;;;;;;;;
4;form;L1;8;1;5;;;;;;;;;;;;;;;;;;;;
